,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
Vizier,0.0705521472392638,9.408723888922116e-05,0.4894894894894895,0.01269915530735501,279,238,267,297
Tombstone / Lonnie Tho,0.06441717791411043,0.0001799056028990237,0.4534075104311544,0.006339602876327817,290,197,314,315
"Mercado, Joy",0.06441717791411043,2.229743461441923e-05,0.4429347826086957,0.004585767861697171,290,302,324,324
Hammerhead,0.05828220858895706,0.0001791649309132314,0.4515235457063712,0.005621821827573302,306,198,316,318
Arranger / ,0.06134969325153374,3.072160392727466e-05,0.4490358126721763,0.005348222090008544,297,297,319,319
"Osborn, Harry",0.08588957055214724,0.0002689041552300922,0.4894894894894895,0.00867367743784678,239,173,267,309
Cobra / Klaus Vorhees,0.049079754601226995,0.00022424597012104944,0.4801178203240059,0.008235125914846517,316,179,290,311
"Leeds, Ned",0.0736196319018405,7.86010937370236e-05,0.4534075104311544,0.006354757927766081,272,247,314,314
"Watson, Anna",0.07975460122699386,0.0002121518458782447,0.4773060029282577,0.010893600716937592,256,185,294,303
"Urich, Ben",0.11349693251533742,0.0008607063600129122,0.5015384615384615,0.015927825074614814,186,106,239,282
"Robertson, Randy",0.06748466257668712,4.225166849265196e-05,0.4435374149659864,0.0050290628604730565,283,275,323,320
"Page, Karen",0.049079754601226995,3.4236405464746084e-05,0.4851190476190476,0.01231884343187999,316,293,277,298
"Grant, Gloria Glory",0.08588957055214724,0.00011274884472969776,0.4478021978021978,0.005893687185525973,239,224,321,317
"Lubenski, Nate",0.05828220858895706,1.0038444063781678e-05,0.44173441734417346,0.004811242046207561,306,317,326,321
Ikaris / Ike Harris [e,0.052147239263803685,2.5858073262667843e-05,0.4738372093023256,0.012021865778019388,313,300,299,300
"Rosenthal, Bernie",0.06441717791411043,0.00021749641202709635,0.4787077826725404,0.012226952458402614,290,184,291,299
Gladiator Ii,0.0705521472392638,3.947784930488151e-05,0.5,0.021785296491569635,279,281,242,241
Beta Ray Bill,0.0736196319018405,0.00017891393436107915,0.482962962962963,0.015557051210555976,272,199,280,284
"Bridge, George Washi",0.06748466257668712,0.0008817346574431192,0.46438746438746437,0.008840316445542642,283,103,307,308
Diamond Lil / Lillian,0.04294478527607362,7.420902154822149e-06,0.46906474820143884,0.010427840059082979,322,321,304,304
Asp Ii / Cleo,0.024539877300613498,1.8876828692779614e-06,0.4604519774011299,0.0032362766043270803,326,323,310,326
Black Mamba / Tanya Se,0.024539877300613498,1.8876828692779614e-06,0.4604519774011299,0.0032362766043270716,326,323,310,327
Meggan,0.06441717791411043,3.883694154723457e-05,0.5030864197530864,0.018201453886466025,290,283,232,267
"Austin, Susan",0.052147239263803685,2.0072052877834256e-05,0.4697406340057637,0.009609016031435158,313,306,303,306
Diamondback Ii / Rache,0.06134969325153374,0.00019930567185770864,0.482962962962963,0.011058628049744704,297,189,280,301
Makkari / Mike Khary / I,0.07975460122699386,0.0002227307848086873,0.48439821693907875,0.018070307203230628,256,180,278,270
"Hodge, Cameron",0.08282208588957056,4.1960348607056584e-05,0.4731494920174166,0.018563612701017456,251,276,300,263
Skin / Angelo Espinosa,0.04294478527607362,2.2254168511888245e-05,0.4490358126721763,0.009133545649649924,322,303,319,307
Husk / Paige Guthrie,0.049079754601226995,3.598331109020007e-05,0.4496551724137931,0.007745412937063236,316,287,318,313
Deadpool / Jack / Wade W,0.03987730061349693,5.6683009237862936e-05,0.4014778325123153,0.004734879408890447,324,268,327,323
