,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
SUPER SABRE / MARTIN F,0.007264957264957265,9.335598793815759e-07,0.3492016116997463,0.008184922259334372,562,1042,847,532
SUPER SKRULL / KL'RT,0.008974358974358974,0.0002251745238887886,0.3795004865390853,0.012581952468801767,442,396,300,393
SUPREME INTELLIGENCE,0.011538461538461539,0.0002797182943602381,0.38210320052253427,0.020485533249363676,361,368,282,262
SURTUR,0.006837606837606838,6.809148701220719e-06,0.3391304347826087,0.0041696675505996554,605,838,1240,844
SUWAN,0.001282051282051282,0.0,0.3546529251288269,0.0022310066704189775,1804,1310,640,1251
"SWANN, DR. EVAN",0.001282051282051282,0.0,0.34718100890207715,0.0015460347683819327,1804,1310,976,1511
"SWITZLER, BEVERLY",0.001282051282051282,7.816753375992436e-05,0.2758132956152758,0.00010037637990758906,1804,543,2176,2215
SWORDSMAN II / COTATI,0.003418803418803419,0.0,0.3561101810987673,0.00702472595495863,1126,1310,589,593
SWORDSMAN III / PHILIP,0.011965811965811965,2.4078936279218342e-05,0.38241542735741135,0.02135736478986582,349,676,278,253
SWORDSMAN / JACQUES DU,0.01581196581196581,4.021600188748636e-05,0.3987730061349693,0.029842333211179572,267,619,219,178
SYBYL DORN,0.005555555555555556,0.0,0.3710163310607262,0.010000001059750789,754,1310,374,448
S'YM,0.00811965811965812,0.00011907802983542569,0.3458468814661543,0.00901842571836358,497,491,1068,493
SYNCH / EVERETT THOMAS,0.009829059829059829,8.173874299437877e-06,0.29911798542758533,0.002109251524835468,414,817,2043,1286
"SZARDOS, MARGALI",0.004273504273504274,0.0,0.3396719407751488,0.005223804876983971,937,1310,1220,720
TABOO,0.0008547008547008547,0.0,0.27064538514920194,6.900039987486955e-05,1996,1310,2194,2252
TAGAR,0.005555555555555556,3.1593098860376964e-05,0.3450309643173105,0.004316781619296682,754,640,1090,828
TAIFU / TOSHIO SASAKI,0.004700854700854701,2.0094717808534595e-06,0.3497235091914512,0.008335994737795076,861,960,823,524
TAI II,0.007264957264957265,2.5116200886547334e-06,0.3325753268902786,0.004532380083073174,562,946,1465,795
TAI,0.002564102564102564,0.0,0.3452855245683931,0.001726263295520883,1362,1310,1084,1441
"TAKACHIHO, HIRO",0.0008547008547008547,0.0,0.2687801516195727,4.171790472037115e-05,1996,1310,2199,2290
TAKU,0.00042735042735042735,0.0,0.31771894093686354,0.0007460910089499509,2176,1310,1835,1934
"TALBOT, GLENN",0.0059829059829059825,1.9323200321595227e-05,0.3530476765238383,0.005236719017625071,702,696,681,719
"TALBOT, MAJ. MATT",0.002564102564102564,1.8270646744353456e-07,0.3345724907063197,0.0017255287424462805,1362,1210,1410,1442
TALISMAN II / ELIZABET,0.010683760683760684,4.16920795198451e-05,0.3548680618744313,0.008183734365661348,382,616,630,533
"TANAKA, KENJIRO",0.007264957264957265,8.88939779212408e-05,0.3556231003039514,0.004335686921048219,562,530,607,825
"TANAKA, OPAL",0.003418803418803419,0.0,0.3469236471460341,0.006527631068710253,1126,1310,1030,630
TANA NILE,0.008547008547008548,0.00017034851004046496,0.3455404607206143,0.004671106769399049,468,454,1078,787
"TANNER, JACKO",0.00042735042735042735,0.0,0.24714828897338403,2.678525235126793e-05,2176,1310,2321,2306
TANTE MATTIE,0.0017094017094017094,9.135323372176728e-08,0.3207236842105263,0.0009215134946954002,1649,1258,1760,1850
TARAKIS,0.0008547008547008547,0.0,0.33722438391699094,0.0015919665079007718,1996,1310,1344,1495
TARANTULA / ANTON MIGU,0.002136752136752137,0.0,0.3476968796433878,0.0024938530391665635,1489,1310,931,1173
TARANTULA II / CAPT. L,0.0008547008547008547,0.0,0.3471295060080107,0.001530779939581883,1996,1310,992,1526
